time,l_leg_hip_yaw_joint,l_leg_hip_roll_joint,l_leg_hip_pitch_joint,l_leg_knee_joint,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_hip_yaw_joint,r_leg_hip_roll_joint,r_leg_hip_pitch_joint,r_leg_knee_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0.865,0.2595,0,0,0,0,0,0,0,0,0,0,0
0.87,0.261,0,0,0,0,0,0,0,0,0,0,0
0.875,0.2625,0,0,0,0,0,0,0,0,0,0,0
0.88,0.264,0,0,0,0,0,0,0,0,0,0,0
0.885,0.2655,0,0,0,0,0,0,0,0,0,0,0
0.89,0.267,0,0,0,0,0,0,0,0,0,0,0
0.895,0.2685,0,0,0,0,0,0,0,0,0,0,0
0.9,0.27,0,0,0,0,0,0,0,0,0,0,0
0.905,0.2715,0,0,0,0,0,0,0,0,0,0,0
0.91,0.273,0,0,0,0,0,0,0,0,0,0,0
0.915,0.2745,0,0,0,0,0,0,0,0,0,0,0
0.92,0.276,0,0,0,0,0,0,0,0,0,0,0
0.925,0.2775,0,0,0,0,0,0,0,0,0,0,0
0.93,0.279,0,0,0,0,0,0,0,0,0,0,0
0.935,0.2805,0,0,0,0,0,0,0,0,0,0,0
0.94,0.282,0,0,0,0,0,0,0,0,0,0,0
0.945,0.2835,0,0,0,0,0,0,0,0,0,0,0
0.95,0.285,0,0,0,0,0,0,0,0,0,0,0
0.955,0.2865,0,0,0,0,0,0,0,0,0,0,0
0.96,0.288,0,0,0,0,0,0,0,0,0,0,0
0.965,0.2895,0,0,0,0,0,0,0,0,0,0,0
0.97,0.291,0,0,0,0,0,0,0,0,0,0,0
0.975,0.2925,0,0,0,0,0,0,0,0,0,0,0
0.98,0.294,0,0,0,0,0,0,0,0,0,0,0
0.985,0.2955,0,0,0,0,0,0,0,0,0,0,0
0.99,0.297,0,0,0,0,0,0,0,0,0,0,0
0.995,0.2985,0,0,0,0,0,0,0,0,0,0,0
1,0.3,0,0,0,0,0,0,0,0,0,0,0
1.005,0.3015,0,0,0,0,0,0,0,0,0,0,0
1.01,0.303,0,0,0,0,0,0,0,0,0,0,0
1.015,0.3045,0,0,0,0,0,0,0,0,0,0,0
1.02,0.306,0,0,0,0,0,0,0,0,0,0,0
1.025,0.3075,0,0,0,0,0,0,0,0,0,0,0
1.03,0.309,0,0,0,0,0,0,0,0,0,0,0
1.035,0.3105,0,0,0,0,0,0,0,0,0,0,0
1.04,0.312,0,0,0,0,0,0,0,0,0,0,0
1.045,0.3135,0,0,0,0,0,0,0,0,0,0,0
1.05,0.315,0,0,0,0,0,0,0,0,0,0,0
1.055,0.3165,0,0,0,0,0,0,0,0,0,0,0
